Team,FacebookFans,twitterFans,value,imageTitle,wins,attendance,,,,,,,,,
NBA,38.05,28.7,50880.00,NBA,0,0.00,,,,,,,,,
New York Knicks,5.83,2.2,4000.00,NYK,17,19002.00,,,,,,,,,
Los Angeles Lakers,21.57,8.2,3700.00,LAL,37,18997.00,,,,,,,,,
Golden State Warriors,11.72,6.4,3500.00,GSW,57,19596.00,,,,,,,,,
Chicago Bulls,17.74,4.1,2900.00,CHI,22,20084.00,,,,,,,,,
Boston Celtics,9.01,3.5,2800.00,BOS,49,18624.00,,,,,,,,,
Brooklyn Nets,2.7,1.1,2350.00,BKN,42,14941.00,,,,,,,,,
Houston Rockets,12.56,3,2300.00,HOU,53,18058.00,,,,,,,,,
Dallas Mavericks,4.37,1.6,2250.00,DAL,33,20013.00,,,,,,,,,
Los Angeles Clippers,3.78,1.5,2200.00,LAC,48,17325.00,,,,,,,,,
Miami Heat,15.27,4.7,1750.00,MIA,39,19640.00,,,,,,,,,
Toronto Raptors,2.68,2.1,1675.00,TOR,58,19824.00,,,,,,,,,
Philadelphia 76ers,1.75,1.8,1650.00,PHI,51,20441.00,,,,,,,,,
San Antonio Spurs,7.05,3.5,1625.00,SAS,48,18307.00,,,,,,,,,
Portland Trailblazers,2.46,1.3,1600.00,POR,53,19496.00,,,,,,,,,
Sacramento Kings,7.51,1.1,1575.00,SAC,39,17096.00,,,,,,,,,
Washington Wizards,1.55,1,1550.00,WAS,32,17487.00,,,,,,,,,
Phoenix Suns,1.88,1.1,1500.00,PHX,19,15293.00,,,,,,,,,
Oklahoma City Thunder,7.07,2.8,1475.00,OKC,49,18203.00,,,,,,,,,
Utah Jazz,1.81,1,1425.00,UTA,50,18306.00,,,,,,,,,
Indiana Pacers,3.25,1.2,1400.00,IND,48,16812.00,,,,,,,,,
Denver Nuggets,2.01,0.9,1375.00,DEN,54,18450.00,,,,,,,,,
Milwaukee Bucks,1.82,1.1,1350.00,MIL,60,17602.00,,,,,,,,,
Orlando Magic,2.75,1.5,1325.00,ORL,42,17561.00,,,,,,,,,
Atlanta Hawks,1.61,1.3,1300.00,ATL,29,15327.00,,,,,,,,,
Cleveland Cavaliers,8.59,3.3,1275.00,CLE,19,19349.00,,,,,,,,,
Detroit Pistons,1.79,0.9,1270.00,DET,41,16486.00,,,,,,,,,
Minnesota Timberwolves,1.89,1,1260.00,MIN,36,15305.00,,,,,,,,,
Charlotte Hornets,1.74,1,1250.00,CHA,39,16501.00,,,,,,,,,
New Orleans Pelicans,1.75,1,1250.00,NOP,33,16004.00,,,,,,,,,
Memphis Grizzlies,1.8,1.1,1200.00,MEM,33,15578.00,,,,,,,,,
,,,,,,,,,,,,,,,
